Gender,Early College HS?,HS Rank,GPA at Graduation,Credits Transferred,Cal 1 Final Grade (MATH 1411),Cal 2 Final Grade (MATH 1312),Statics Final Grade (MECH 1321),Chemistry Final Grade (CHEM 1305),degree_completion
1,0,42.0,0.0,65,0,0,3,3,0
1,0,172.0,3.63,0,3,4,4,3,1
1,0,295.0,0.0,0,0,0,0,0,0
1,0,85.0,0.0,0,0,0,0,0,0
1,0,65.0,3.84,72,0,0,3,0,1
1,0,345.0,0.0,0,0,0,0,0,0
1,0,13.0,0.0,62,0,4,0,0,0
1,0,85.0,3.64,0,4,4,0,2,0
0,0,153.0,0.0,83,0,0,0,0,0
1,0,111.0,0.0,30,0,0,0,0,0
1,0,3.0,3.8,36,0,0,0,0,1
1,0,136.0,0.0,70,0,0,0,0,0
0,0,2.0,0.0,24,4,4,4,3,0
1,0,85.0,3.35,90,0,0,0,0,1
0,0,11.0,3.49,6,4,4,0,3,0
1,1,70.0,3.47,69,0,2,4,0,1
1,0,85.0,0.0,13,-1,0,0,0,0
1,0,31.0,3.89,18,4,4,4,4,1
1,0,85.0,3.54,58,0,0,0,0,1
1,0,69.0,0.0,67,0,0,0,0,0
1,0,399.0,3.73,61,0,0,4,0,1
1,0,417.0,3.54,0,0,0,0,0,0
1,1,21.0,0.0,58,0,0,-1,2,0
1,1,88.0,0.0,53,0,-1,0,0,0
1,0,21.0,0.0,33,0,0,4,4,0
1,0,14.0,0.0,0,2,0,0,0,0
1,0,85.0,0.0,62,-1,0,0,-1,0
1,0,315.0,0.0,0,3,3,0,-1,0
1,0,85.0,3.15,37,4,2,2,0,1
1,0,26.0,3.66,72,0,0,0,0,1
1,0,85.0,0.0,71,0,0,0,0,0
1,0,182.0,0.0,0,4,4,0,4,0
1,0,85.0,4.0,0,0,0,0,0,1
1,0,51.0,0.0,0,4,0,0,0,0
1,1,39.0,3.39,61,3,3,0,0,1
1,0,2.0,4.0,42,4,4,4,4,1
0,0,6.0,3.74,113,0,4,0,0,1
1,0,85.0,0.0,67,0,0,0,0,0
1,0,180.0,0.0,0,0,0,0,2,0
0,0,85.0,0.0,0,4,4,4,4,0
1,0,62.0,0.0,56,0,0,4,0,0
1,0,247.0,0.0,0,4,0,0,1,0
1,0,215.0,2.98,67,0,0,0,0,1
1,0,108.0,0.0,0,0,0,0,0,0
0,0,85.0,3.58,0,2,4,4,3,1
1,0,36.0,0.0,0,0,0,0,0,0
1,0,276.0,0.0,0,0,0,0,0,0
1,0,85.0,3.29,102,0,4,2,0,1
1,0,116.0,0.0,0,0,0,0,0,0
1,0,85.0,0.0,0,0,0,0,0,0
1,0,243.0,0.0,0,3,0,0,-1,0
1,0,82.0,3.25,60,0,0,0,0,1
1,0,85.0,0.0,74,0,0,0,0,0
1,0,85.0,2.72,75,0,0,0,0,1
1,0,367.0,3.87,69,0,0,0,0,1
1,0,85.0,3.35,58,0,0,0,4,1
1,0,191.0,3.13,67,0,0,0,0,1
1,0,85.0,0.0,73,0,0,0,0,0
1,0,428.0,0.0,0,0,0,0,0,0
0,0,1.0,3.41,19,0,4,4,4,1
1,1,53.0,3.23,122,0,1,3,0,1
1,0,144.0,0.0,105,0,0,0,0,0
1,0,126.0,0.0,29,0,0,4,0,0
1,0,473.0,0.0,0,0,0,0,-1,0
0,0,85.0,0.0,69,0,0,0,0,0
0,1,50.0,3.27,60,0,4,2,0,1
1,0,85.0,0.0,0,2,4,2,3,0
0,0,7.0,0.0,0,2,2,0,0,0
1,0,169.0,0.0,24,2,0,0,3,0
1,1,43.0,3.32,74,0,0,4,2,1
1,0,17.0,0.0,0,4,4,0,0,0
1,0,368.0,3.27,68,0,0,0,0,1
1,0,197.0,0.0,0,3,0,0,0,0
1,0,104.0,0.0,0,0,0,0,0,0
1,0,215.0,0.0,0,1,0,2,2,0
1,0,342.0,0.0,3,3,4,-1,-1,0
1,0,78.0,3.34,67,0,0,0,0,1
0,0,3.0,3.95,68,0,0,0,0,1
1,0,85.0,0.0,0,0,0,0,0,0
1,0,122.0,0.0,0,-1,0,0,-1,0
0,0,18.0,3.78,22,0,0,4,4,1
0,0,281.0,0.0,0,2,3,4,2,0
1,0,346.0,0.0,0,0,0,0,0,0
1,0,250.0,0.0,9,4,0,0,0,0
1,0,3.0,0.0,0,-1,0,0,0,0
1,0,129.0,3.5,0,4,0,4,2,1
1,0,45.0,0.0,9,3,0,0,2,0
1,0,12.0,0.0,60,3,4,0,2,0
1,0,153.0,0.0,54,0,0,0,0,0
1,0,85.0,3.2,59,0,0,0,0,1
1,0,11.0,0.0,0,0,0,0,-1,0
1,0,36.0,0.0,0,4,4,3,4,0
1,0,65.0,3.16,26,0,3,3,3,1
1,0,177.0,3.42,0,3,3,4,3,1
1,0,85.0,0.0,0,4,4,2,2,0
1,0,125.0,3.65,3,2,2,4,4,1
1,0,151.0,0.0,0,2,4,-1,3,0
0,0,2.0,3.39,28,0,2,0,0,0
1,0,85.0,0.0,39,0,0,4,0,0
1,0,309.0,2.63,0,2,0,1,3,0
1,0,1.0,0.0,0,2,3,2,2,0
1,0,85.0,0.0,15,0,0,0,1,0
1,0,95.0,0.0,0,4,4,3,3,0
0,0,437.0,0.0,0,4,4,2,-1,0
1,1,38.0,0.0,56,0,-1,0,0,0
1,0,150.0,0.0,7,4,4,2,2,0
1,1,66.0,2.72,60,0,3,0,1,1
1,0,16.0,0.0,18,0,0,0,0,0
0,0,161.0,2.85,86,2,-1,-1,2,0
1,0,121.0,0.0,12,4,0,0,0,0
1,0,3.0,0.0,9,0,0,0,-1,0
1,0,39.0,0.0,0,0,0,0,0,0
1,0,3.0,0.0,80,0,3,3,0,0
1,0,85.0,3.43,108,0,0,0,0,1
1,0,102.0,3.61,76,0,0,0,0,1
1,0,85.0,3.61,55,0,0,3,0,1
1,1,7.0,0.0,70,0,0,0,0,0
1,0,241.0,2.78,44,3,2,4,0,1
0,0,5.0,4.0,27,4,4,4,4,1
1,0,85.0,3.43,78,0,0,0,0,1
1,0,106.0,0.0,0,4,4,2,2,0
0,0,11.0,3.95,0,4,4,4,4,1
0,0,58.0,0.0,33,0,0,0,0,0
0,0,82.0,0.0,59,3,2,3,3,0
1,0,238.0,0.0,0,0,0,0,0,0
1,0,28.0,0.0,62,0,3,0,0,0
